stdntid,female,white,black,asian,age,yearssmall,kinnercity,ksuburban,krural,ktwhite,gkthighdegree,gktyears,gkfreelunch,gkabsent,gktreadss,gktmathss,gktlstnss,gktwordss,1innercity,1suburban,1rural,1twhite,g1thighdegree,g1tyears,g1freelunch,g1absent,g1treadss,g1tmathss,g1tlstnss,g1twordss,g1readbsraw,g1mathbsraw,2innercity,2suburban,2rural,2twhite,g2thighdegree,g2tyears,g2freelunch,g2treadss,g2tmathss,g2tlstnss,g2twordss,g2readbsraw,g2mathbsraw,3innercity,3suburban,3rural,3twhite,3tblack,g3thighdegree,g3tyears,g3freelunch,g3absent,g3treadss,g3tmathss,g3tlstnss,g3twordss
11151,0.0,1,0,0,6.0288712293886935,0,0,0,1,1,2.0,20.0,0.0,8.0,461.0,559.0,607.0,458.0,0,0,1,1,2.0,19.0,0.0,7.0,604.0,572.0,588.0,601.0,29.0,43.0,0,0,1,1,3.0,19.0,0.0,588.0,615.0,610.0,621.0,41.0,59.0,0,0,1,1,0,2.0,22.0,0.0,5.0,624.0,626.0,629.0,620.0
11157,1.0,1,0,0,6.625734956912188,1,0,0,1,1,2.0,5.0,0.0,7.0,485.0,513.0,549.0,502.0,0,0,1,1,2.0,2.0,0.0,21.0,494.0,520.0,625.0,475.0,23.0,39.0,0,0,1,0,3.0,12.0,0.0,541.0,545.0,602.0,525.0,43.0,55.0,0,0,1,1,0,2.0,28.0,0.0,1.0,593.0,601.0,640.0,577.0
11170,0.0,1,0,0,6.573714723779407,0,0,0,0,1,2.0,17.0,1.0,4.0,410.0,468.0,540.0,405.0,0,0,0,1,2.0,5.0,1.0,1.0,444.0,479.0,526.0,441.0,16.0,40.0,0,0,0,1,3.0,8.0,1.0,545.0,563.0,564.0,605.0,23.0,46.0,0,0,0,1,0,3.0,15.0,1.0,2.0,592.0,580.0,608.0,615.0
11171,1.0,0,1,0,6.590142165821338,0,0,0,0,1,3.0,6.0,1.0,7.0,408.0,449.0,494.0,410.0,0,0,0,1,2.0,5.0,1.0,1.0,441.0,458.0,498.0,426.0,18.0,31.0,0,0,0,1,3.0,8.0,1.0,560.0,518.0,556.0,553.0,38.0,40.0,0,0,0,1,0,3.0,15.0,0.0,0.0,599.0,564.0,564.0,611.0
11177,0.0,0,1,0,5.801624947808648,0,1,0,0,1,2.0,12.0,1.0,1.0,433.0,494.0,545.0,449.0,1,0,0,0,2.0,0.0,1.0,0.0,527.0,653.0,645.0,536.0,32.0,43.0,1,0,0,1,2.0,1.0,1.0,608.0,699.0,626.0,672.0,46.0,57.0,1,0,0,1,0,2.0,3.0,1.0,1.0,693.0,752.0,660.0,664.0
11184,0.0,1,0,0,6.532646118674579,0,0,0,1,1,2.0,8.0,0.0,14.0,456.0,439.0,532.0,474.0,0,0,1,1,2.0,12.0,0.0,9.0,453.0,497.0,562.0,441.0,20.0,36.0,0,0,1,1,2.0,23.0,0.0,511.0,523.0,590.0,472.0,25.0,40.0,0,0,1,1,0,2.0,21.0,0.0,5.0,545.0,565.0,610.0,553.0
11202,1.0,0,1,0,5.741390993654901,0,1,0,0,1,2.0,11.0,1.0,16.0,410.0,439.0,528.0,396.0,1,0,0,0,2.0,0.0,1.0,4.0,536.0,584.0,568.0,577.0,30.0,42.0,1,0,0,1,2.0,1.0,1.0,547.0,561.0,593.0,536.0,23.0,31.0,1,0,0,1,0,2.0,3.0,1.0,4.0,593.0,604.0,575.0,574.0
11203,1.0,0,1,0,5.735915179640924,1,0,1,0,1,2.0,3.0,1.0,2.0,485.0,506.0,540.0,453.0,1,0,0,0,2.0,1.0,1.0,6.0,512.0,500.0,577.0,514.0,18.0,26.0,1,0,0,1,2.0,1.0,1.0,547.0,570.0,581.0,547.0,21.0,48.0,1,0,0,0,1,3.0,11.0,1.0,1.0,565.0,576.0,582.0,553.0
11208,1.0,1,0,0,5.7194877375989925,0,0,0,1,1,3.0,10.0,1.0,12.0,453.0,528.0,571.0,468.0,0,0,1,1,3.0,7.0,0.0,14.0,629.0,578.0,592.0,577.0,31.0,43.0,0,0,1,1,3.0,13.0,1.0,602.0,626.0,613.0,583.0,45.0,52.0,0,0,1,1,0,3.0,7.0,1.0,8.0,644.0,626.0,652.0,635.0
11213,1.0,0,1,0,5.727701458619958,0,1,0,0,1,2.0,12.0,1.0,8.0,403.0,418.0,486.0,405.0,1,0,0,0,2.0,0.0,1.0,1.0,463.0,584.0,592.0,456.0,31.0,44.0,1,0,0,1,2.0,1.0,1.0,529.0,593.0,578.0,520.0,25.0,36.0,1,0,0,1,0,2.0,3.0,1.0,8.0,570.0,601.0,617.0,577.0
11234,0.0,1,0,0,5.615447271333429,4,0,0,1,1,3.0,9.0,1.0,21.0,434.0,528.0,560.0,418.0,0,0,1,1,2.0,5.0,1.0,3.0,533.0,557.0,577.0,524.0,29.0,43.0,0,0,1,1,2.0,0.0,1.0,631.0,579.0,593.0,621.0,46.0,52.0,0,0,1,1,0,2.0,15.0,1.0,17.0,665.0,634.0,643.0,655.0
11267,0.0,1,0,0,6.508004955611683,4,0,0,1,1,2.0,12.0,1.0,43.0,434.0,528.0,528.0,423.0,0,0,1,0,2.0,12.0,1.0,27.0,495.0,507.0,562.0,506.0,28.0,40.0,0,0,1,1,2.0,23.0,1.0,542.0,528.0,575.0,583.0,29.0,50.0,0,0,1,1,0,2.0,12.0,1.0,32.0,582.0,582.0,593.0,595.0
11300,1.0,0,1,0,6.535384025681568,4,1,0,0,1,2.0,2.0,1.0,3.0,485.0,559.0,586.0,486.0,1,0,0,0,3.0,17.0,1.0,2.0,460.0,481.0,509.0,416.0,27.0,28.0,1,0,0,1,2.0,2.0,1.0,539.0,514.0,543.0,541.0,36.0,38.0,1,0,0,0,1,2.0,3.0,1.0,0.0,608.0,583.0,588.0,629.0
11328,0.0,1,0,0,6.502529141597705,0,0,1,0,0,2.0,5.0,0.0,15.0,453.0,473.0,498.0,463.0,0,1,0,1,3.0,20.0,0.0,15.0,488.0,495.0,524.0,470.0,28.0,38.0,0,1,0,1,2.0,12.0,0.0,566.0,545.0,545.0,567.0,29.0,45.0,0,1,0,0,1,2.0,14.0,0.0,9.0,567.0,586.0,580.0,546.0
11334,1.0,0,1,0,5.976850996255912,0,1,0,0,1,3.0,24.0,1.0,36.0,478.0,547.0,586.0,453.0,1,0,0,0,2.0,35.0,1.0,6.0,472.0,515.0,538.0,493.0,29.0,41.0,1,0,0,0,3.0,32.0,1.0,579.0,533.0,606.0,574.0,40.0,53.0,1,0,0,0,1,2.0,18.0,1.0,3.0,641.0,603.0,606.0,648.0
11369,1.0,1,0,0,6.436819373429981,4,0,0,1,1,2.0,12.0,0.0,48.0,450.0,513.0,540.0,453.0,0,0,1,0,2.0,12.0,1.0,27.0,499.0,477.0,512.0,493.0,24.0,31.0,0,0,1,1,2.0,23.0,1.0,552.0,522.0,537.0,553.0,30.0,41.0,0,0,1,1,0,2.0,12.0,0.0,16.0,572.0,562.0,564.0,577.0
11379,1.0,1,0,0,5.842693552913476,0,0,1,0,1,2.0,0.0,0.0,9.0,422.0,547.0,516.0,414.0,0,1,0,1,2.0,16.0,0.0,10.0,485.0,510.0,519.0,499.0,24.0,29.0,0,1,0,0,2.0,12.0,0.0,545.0,518.0,556.0,547.0,34.0,48.0,0,1,0,1,0,3.0,18.0,0.0,4.0,562.0,593.0,571.0,581.0
11382,1.0,1,0,0,6.398488675332143,1,0,0,1,1,2.0,12.0,0.0,9.0,437.0,463.0,554.0,435.0,0,0,1,1,2.0,23.0,0.0,6.0,514.0,529.0,554.0,475.0,29.0,41.0,0,0,1,0,3.0,21.0,0.0,538.0,565.0,610.0,510.0,30.0,51.0,0,0,1,1,0,3.0,36.0,0.0,2.0,555.0,562.0,610.0,549.0
11393,0.0,0,1,0,5.8207902968575675,4,1,0,0,1,2.0,5.0,1.0,7.0,463.0,536.0,532.0,444.0,1,0,0,0,2.0,2.0,1.0,0.0,536.0,553.0,571.0,524.0,31.0,43.0,1,0,0,0,3.0,13.0,1.0,604.0,603.0,593.0,605.0,46.0,57.0,1,0,0,1,0,3.0,31.0,1.0,9.0,670.0,672.0,601.0,655.0
11394,0.0,0,1,0,5.8207902968575675,4,1,0,0,0,2.0,6.0,1.0,13.0,414.0,478.0,494.0,391.0,1,0,0,0,2.0,13.0,1.0,22.0,519.0,488.0,543.0,506.0,29.0,43.0,1,0,0,0,2.0,31.0,1.0,573.0,536.0,564.0,583.0,37.0,53.0,1,0,0,1,0,3.0,31.0,1.0,16.0,626.0,604.0,603.0,607.0
11400,1.0,0,1,0,5.831741924885521,3,0,1,0,0,2.0,1.0,0.0,14.0,448.0,473.0,524.0,458.0,0,1,0,0,3.0,32.0,0.0,8.0,524.0,557.0,588.0,551.0,28.0,44.0,0,1,0,0,2.0,7.0,0.0,554.0,574.0,610.0,553.0,42.0,59.0,0,1,0,1,0,3.0,9.0,0.0,5.0,580.0,603.0,622.0,557.0
11403,1.0,0,1,0,5.818052389850578,0,1,0,0,0,2.0,6.0,1.0,3.0,470.0,463.0,554.0,486.0,1,0,0,0,2.0,24.0,1.0,7.0,463.0,535.0,543.0,436.0,28.0,40.0,1,0,0,0,3.0,24.0,1.0,517.0,568.0,540.0,525.0,26.0,54.0,1,0,0,0,1,2.0,25.0,1.0,5.0,565.0,594.0,546.0,546.0
11407,1.0,0,1,0,5.809838668829613,0,1,0,0,0,2.0,16.0,1.0,1.0,436.0,459.0,509.0,414.0,1,0,0,0,3.0,6.0,1.0,4.0,471.0,472.0,517.0,470.0,22.0,31.0,1,0,0,1,2.0,4.0,0.0,535.0,520.0,543.0,541.0,30.0,51.0,1,0,0,1,0,3.0,12.0,1.0,5.0,629.0,648.0,643.0,620.0
11410,0.0,0,1,0,4.8022888902578424,4,1,0,0,0,2.0,9.0,1.0,21.0,434.0,506.0,536.0,423.0,1,0,0,0,3.0,9.0,1.0,6.0,499.0,553.0,618.0,506.0,25.0,43.0,1,0,0,0,2.0,2.0,1.0,559.0,548.0,575.0,553.0,39.0,56.0,1,0,0,0,1,2.0,8.0,1.0,6.0,650.0,655.0,656.0,629.0
11415,0.0,0,1,0,5.79614913379467,4,1,0,0,1,2.0,1.0,1.0,15.0,419.0,463.0,524.0,414.0,1,0,0,0,2.0,26.0,1.0,15.0,492.0,542.0,551.0,481.0,29.0,44.0,1,0,0,1,2.0,4.0,1.0,545.0,577.0,548.0,547.0,38.0,54.0,1,0,0,0,1,2.0,29.0,1.0,6.0,552.0,594.0,549.0,570.0
11417,1.0,0,1,0,5.793411226787682,0,1,0,0,1,3.0,22.0,1.0,8.0,410.0,459.0,505.0,410.0,1,0,0,0,3.0,32.0,1.0,6.0,512.0,526.0,556.0,524.0,32.0,42.0,1,0,0,0,3.0,0.0,1.0,622.0,590.0,599.0,621.0,43.0,51.0,1,0,0,0,1,2.0,0.0,1.0,2.0,654.0,639.0,617.0,648.0
11421,1.0,0,1,0,5.776983784745751,0,0,1,0,0,2.0,20.0,0.0,0.0,490.0,602.0,595.0,502.0,0,1,0,0,2.0,0.0,0.0,1.0,590.0,584.0,618.0,601.0,31.0,43.0,0,1,0,1,2.0,22.0,0.0,659.0,620.0,610.0,672.0,47.0,59.0,0,1,0,1,0,3.0,26.0,0.0,1.0,636.0,659.0,637.0,641.0
11422,0.0,0,1,0,5.768770063724785,0,1,0,0,1,2.0,2.0,1.0,4.0,388.0,405.0,520.0,396.0,1,0,0,0,2.0,31.0,1.0,0.0,553.0,567.0,568.0,551.0,31.0,44.0,1,0,0,1,2.0,19.0,1.0,622.0,611.0,590.0,672.0,47.0,60.0,1,0,0,1,0,2.0,23.0,1.0,2.0,633.0,648.0,615.0,635.0
11423,0.0,0,1,0,5.766032156717797,3,1,0,0,1,2.0,1.0,1.0,17.0,428.0,468.0,532.0,414.0,1,0,0,0,2.0,4.0,1.0,14.0,494.0,542.0,601.0,486.0,27.0,32.0,1,0,0,0,3.0,26.0,1.0,529.0,536.0,599.0,536.0,23.0,45.0,1,0,0,0,1,2.0,18.0,1.0,4.0,567.0,556.0,652.0,549.0
11424,0.0,0,1,0,5.793411226787682,0,1,0,0,1,3.0,22.0,1.0,3.0,416.0,439.0,509.0,418.0,1,0,0,0,2.0,36.0,1.0,4.0,463.0,461.0,541.0,446.0,20.0,31.0,1,0,0,1,3.0,10.0,1.0,520.0,515.0,570.0,530.0,23.0,41.0,1,0,0,0,1,2.0,30.0,1.0,0.0,543.0,558.0,566.0,557.0
11439,0.0,0,1,0,5.76055634270382,4,1,0,0,1,2.0,14.0,1.0,2.0,442.0,506.0,571.0,423.0,1,0,0,0,2.0,1.0,1.0,2.0,509.0,578.0,588.0,536.0,32.0,43.0,1,0,0,1,2.0,14.0,1.0,588.0,626.0,590.0,560.0,43.0,56.0,1,0,0,1,0,2.0,8.0,1.0,9.0,600.0,624.0,597.0,581.0
11443,0.0,0,1,0,5.741390993654901,0,1,0,0,1,3.0,6.0,1.0,19.0,408.0,449.0,512.0,401.0,1,0,0,0,2.0,36.0,1.0,9.0,472.0,538.0,596.0,460.0,26.0,42.0,1,0,0,0,2.0,31.0,1.0,562.0,599.0,593.0,574.0,41.0,54.0,1,0,0,0,1,2.0,18.0,1.0,18.0,577.0,585.0,629.0,588.0
11452,1.0,0,1,0,5.7331772726339345,0,0,1,0,0,2.0,20.0,0.0,0.0,480.0,602.0,622.0,463.0,0,1,0,1,2.0,2.0,0.0,1.0,509.0,526.0,601.0,577.0,27.0,43.0,0,1,0,1,2.0,22.0,0.0,608.0,582.0,610.0,593.0,41.0,55.0,0,1,0,1,0,3.0,26.0,0.0,2.0,620.0,678.0,649.0,588.0
11464,1.0,0,1,0,5.744128900661889,0,1,0,0,1,3.0,17.0,1.0,9.0,447.0,459.0,532.0,423.0,1,0,0,0,2.0,1.0,1.0,7.0,527.0,584.0,592.0,536.0,32.0,41.0,1,0,0,1,3.0,12.0,1.0,604.0,626.0,606.0,605.0,45.0,57.0,1,0,0,1,0,2.0,2.0,1.0,1.0,624.0,610.0,610.0,591.0
11471,1.0,0,1,0,5.730439365626946,4,1,0,0,0,2.0,6.0,1.0,7.0,439.0,602.0,524.0,418.0,1,0,0,0,2.0,9.0,1.0,4.0,604.0,584.0,592.0,601.0,32.0,43.0,1,0,0,0,2.0,8.0,1.0,627.0,599.0,581.0,648.0,47.0,60.0,1,0,0,0,1,3.0,21.0,1.0,7.0,639.0,655.0,640.0,655.0
11477,1.0,0,1,0,5.7194877375989925,0,0,1,0,0,2.0,1.0,1.0,2.0,433.0,500.0,512.0,423.0,0,1,0,1,2.0,4.0,1.0,7.0,530.0,549.0,559.0,536.0,30.0,41.0,0,1,0,0,2.0,4.0,1.0,566.0,568.0,606.0,541.0,41.0,52.0,0,1,0,0,1,2.0,7.0,1.0,3.0,631.0,594.0,601.0,635.0
11478,0.0,0,1,0,5.7194877375989925,0,1,0,0,1,2.0,6.0,1.0,24.0,424.0,439.0,520.0,401.0,1,0,0,0,3.0,33.0,1.0,19.0,488.0,495.0,562.0,486.0,25.0,41.0,1,0,0,1,3.0,5.0,1.0,511.0,505.0,559.0,515.0,21.0,33.0,1,0,0,0,1,2.0,26.0,1.0,9.0,554.0,536.0,575.0,546.0
11484,0.0,0,1,0,5.708536109571038,0,1,0,0,0,2.0,10.0,1.0,1.0,470.0,602.0,578.0,480.0,1,0,0,1,2.0,2.0,1.0,9.0,503.0,572.0,580.0,499.0,30.0,43.0,1,0,0,1,2.0,1.0,1.0,593.0,639.0,677.0,593.0,48.0,60.0,0,1,0,0,1,2.0,8.0,1.0,4.0,633.0,684.0,646.0,635.0
11491,1.0,0,1,0,5.700322388550073,0,1,0,0,0,3.0,15.0,1.0,4.0,424.0,473.0,532.0,401.0,1,0,0,1,3.0,3.0,1.0,3.0,501.0,520.0,531.0,524.0,23.0,42.0,1,0,0,0,3.0,30.0,1.0,584.0,528.0,590.0,648.0,47.0,45.0,1,0,0,1,0,3.0,22.0,1.0,2.0,612.0,608.0,617.0,635.0
11492,1.0,0,1,0,5.6975844815430845,0,1,0,0,0,3.0,10.0,1.0,1.0,474.0,478.0,486.0,494.0,1,0,0,1,2.0,5.0,1.0,0.0,501.0,505.0,536.0,514.0,31.0,39.0,1,0,0,1,3.0,13.0,1.0,593.0,570.0,562.0,560.0,46.0,57.0,1,0,0,0,1,3.0,3.0,1.0,0.0,675.0,608.0,660.0,664.0
11496,1.0,0,1,0,5.689370760522118,4,1,0,0,0,2.0,14.0,1.0,13.0,461.0,454.0,512.0,468.0,1,0,0,0,2.0,26.0,1.0,6.0,540.0,526.0,580.0,601.0,28.0,44.0,1,0,0,1,2.0,4.0,1.0,586.0,590.0,575.0,621.0,40.0,57.0,1,0,0,0,1,2.0,29.0,1.0,11.0,614.0,593.0,590.0,577.0
11497,0.0,0,1,0,5.68663285351513,0,1,0,0,0,2.0,3.0,1.0,1.0,358.0,384.0,494.0,401.0,1,0,0,0,2.0,31.0,1.0,2.0,463.0,495.0,521.0,451.0,28.0,40.0,1,0,0,1,2.0,19.0,1.0,545.0,548.0,556.0,541.0,41.0,57.0,1,0,0,1,0,2.0,23.0,1.0,3.0,562.0,582.0,564.0,570.0
11503,1.0,0,1,0,5.6975844815430845,4,1,0,0,1,2.0,2.0,0.0,15.0,465.0,626.0,560.0,468.0,1,0,0,0,3.0,17.0,0.0,8.0,439.0,472.0,501.0,446.0,19.0,32.0,1,0,0,1,2.0,2.0,0.0,533.0,541.0,537.0,567.0,24.0,47.0,1,0,0,0,1,2.0,3.0,1.0,6.0,583.0,603.0,593.0,574.0
11517,1.0,1,0,0,5.927568670130119,2,0,0,1,1,2.0,11.0,1.0,10.0,424.0,473.0,549.0,431.0,0,0,1,1,2.0,20.0,1.0,8.0,462.0,512.0,571.0,446.0,28.0,37.0,0,0,1,1,3.0,15.0,1.0,502.0,520.0,602.0,483.0,18.0,40.0,0,0,1,1,0,2.0,13.0,1.0,7.0,536.0,558.0,634.0,546.0
11520,1.0,0,1,0,5.670205411473199,0,0,1,0,1,2.0,6.0,1.0,0.0,430.0,468.0,520.0,427.0,0,1,0,0,2.0,3.0,1.0,0.0,571.0,532.0,574.0,601.0,31.0,43.0,0,1,0,0,2.0,4.0,1.0,614.0,545.0,581.0,593.0,44.0,57.0,0,1,0,0,1,3.0,19.0,1.0,0.0,629.0,639.0,643.0,607.0
11536,1.0,1,0,0,6.3464684421993605,4,0,1,0,1,2.0,14.0,1.0,25.0,418.0,473.0,549.0,427.0,0,1,0,1,2.0,13.0,1.0,7.0,495.0,495.0,559.0,441.0,26.0,36.0,0,1,0,1,2.0,2.0,0.0,550.0,509.0,562.0,560.0,33.0,40.0,0,1,0,1,0,3.0,6.0,1.0,16.0,618.0,561.0,632.0,595.0
11559,1.0,1,0,0,6.387537047304188,0,0,0,1,1,2.0,2.0,0.0,6.0,411.0,454.0,524.0,405.0,0,0,1,1,3.0,13.0,0.0,4.0,457.0,490.0,521.0,410.0,19.0,32.0,0,0,1,1,2.0,6.0,0.0,520.0,531.0,540.0,505.0,24.0,46.0,0,0,1,1,0,2.0,8.0,0.0,1.0,538.0,568.0,566.0,553.0
11561,0.0,1,0,0,6.450508908464924,0,0,0,1,1,2.0,10.0,1.0,15.0,467.0,489.0,545.0,458.0,0,0,1,1,3.0,9.0,1.0,7.0,465.0,538.0,546.0,441.0,23.0,43.0,0,0,1,1,2.0,2.0,1.0,562.0,577.0,602.0,567.0,39.0,55.0,0,0,1,1,0,3.0,19.0,1.0,3.0,597.0,593.0,610.0,584.0
11577,0.0,1,0,0,6.335516814171407,0,0,1,0,1,3.0,22.0,1.0,24.0,430.0,468.0,528.0,440.0,0,1,0,1,3.0,29.0,1.0,10.0,536.0,545.0,556.0,577.0,32.0,44.0,0,1,0,1,3.0,12.0,1.0,618.0,577.0,606.0,605.0,39.0,60.0,0,1,0,1,0,3.0,6.0,1.0,13.0,620.0,636.0,617.0,611.0
11607,0.0,1,0,0,6.414916117374073,0,0,0,0,1,2.0,0.0,0.0,8.0,455.0,576.0,565.0,453.0,0,0,0,1,3.0,12.0,0.0,18.0,629.0,653.0,634.0,577.0,32.0,44.0,0,0,0,1,3.0,13.0,0.0,637.0,615.0,636.0,648.0,47.0,58.0,0,0,0,1,0,3.0,7.0,0.0,8.0,675.0,655.0,663.0,691.0
11633,0.0,1,0,0,6.269807046003683,4,0,0,1,1,2.0,1.0,0.0,13.0,424.0,463.0,540.0,396.0,0,0,1,1,3.0,15.0,0.0,17.0,487.0,512.0,562.0,499.0,28.0,41.0,0,0,1,1,3.0,11.0,0.0,557.0,536.0,578.0,553.0,38.0,42.0,0,0,1,1,0,2.0,18.0,0.0,7.0,577.0,567.0,615.0,574.0
11640,1.0,1,0,0,6.135649602661245,0,0,0,1,1,3.0,8.0,0.0,8.0,445.0,547.0,586.0,453.0,0,0,1,1,3.0,13.0,0.0,13.0,579.0,567.0,588.0,601.0,32.0,42.0,0,0,1,1,3.0,20.0,0.0,637.0,615.0,622.0,605.0,45.0,59.0,0,0,1,0,1,3.0,19.0,0.0,4.0,654.0,631.0,640.0,676.0
11646,1.0,1,0,0,6.305399837094533,0,0,0,1,1,2.0,1.0,1.0,8.0,433.0,463.0,501.0,410.0,0,0,1,1,2.0,0.0,1.0,11.0,480.0,515.0,536.0,493.0,17.0,43.0,0,0,1,1,2.0,20.0,1.0,559.0,584.0,562.0,567.0,36.0,53.0,0,0,1,1,0,2.0,28.0,1.0,0.0,575.0,591.0,584.0,560.0
